Submission ID,Respondent ID,Submitted at,ref,"After the protocol, how would you describe the situation — for yourself or the person you were listening with ?"
sub_0434,resp_0434,2026-01-04 00:00:00,H-CR-L3-VOL001,6
sub_0650,resp_0650,2026-01-07 00:00:00,T-FC-L2-VOL001,9
sub_0514,resp_0514,2026-03-09 00:00:00,H-SL-L2-VOL001,6
sub_0450,resp_0450,2026-02-20 00:00:00,H-SL-L1-VOL001,6
sub_0486,resp_0486,2026-02-22 00:00:00,H-SL-L1-VOL001,7
sub_0366,resp_0366,2026-01-10 00:00:00,H-CR-L1-VOL001,5
sub_0449,resp_0449,2026-03-21 00:00:00,H-SL-L1-VOL001,9
sub_0908,resp_0908,2026-02-13 00:00:00,X-MD-L1-VOL001,4
sub_0517,resp_0517,2026-01-22 00:00:00,H-SL-L2-VOL001,6
sub_0801,resp_0801,2026-01-03 00:00:00,T-MB-L2-VOL001,4
sub_0089,resp_0089,2026-01-13 00:00:00,H-OS-L2-VOL001,7
sub_0064,resp_0064,2026-02-17 00:00:00,H-OS-L1-VOL001,8
sub_0824,resp_0824,2026-02-04 00:00:00,X-ME-L1-VOL001,7
sub_0621,resp_0621,2026-03-17 00:00:00,T-FC-L1-VOL001,7
sub_0803,resp_0803,2026-03-07 00:00:00,T-MB-L2-VOL001,8
sub_0600,resp_0600,2026-02-28 00:00:00,T-FC-L1-VOL001,7
sub_0433,resp_0433,2026-01-16 00:00:00,H-CR-L3-VOL001,7
sub_0222,resp_0222,2026-03-21 00:00:00,H-AX-L1-VOL001,9
sub_0972,resp_0972,2026-03-16 00:00:00,X-MC-L2-VOL001,7
sub_0526,resp_0526,2026-01-29 00:00:00,H-SL-L2-VOL001,6
sub_0957,resp_0957,2026-02-16 00:00:00,X-MC-L1-VOL001,7
sub_0849,resp_0849,2026-02-25 00:00:00,X-ME-L1-VOL001,8
sub_0549,resp_0549,2026-02-17 00:00:00,H-SL-L3-VOL001,6
sub_0686,resp_0686,2026-01-20 00:00:00,T-CF-L1-VOL001,6
sub_0689,resp_0689,2026-03-02 00:00:00,T-CF-L1-VOL001,7
sub_0983,resp_0983,2026-01-07 00:00:00,X-MC-L2-VOL001,7
sub_0140,resp_0140,2026-01-27 00:00:00,H-OS-L3-VOL001,7
sub_0087,resp_0087,2026-02-26 00:00:00,H-OS-L2-VOL001,9
sub_0291,resp_0291,2026-02-01 00:00:00,H-AX-L3-VOL001,6
sub_0307,resp_0307,2026-02-23 00:00:00,H-AX-L3-VOL001,6
sub_0308,resp_0308,2026-03-04 00:00:00,H-AX-L3-VOL001,7
sub_0534,resp_0534,2026-03-10 00:00:00,H-SL-L2-VOL001,6
sub_0329,resp_0329,2026-03-09 00:00:00,H-CR-L1-VOL001,8
sub_0723,resp_0723,2026-01-13 00:00:00,T-CF-L2-VOL001,5
sub_0236,resp_0236,2026-02-28 00:00:00,H-AX-L1-VOL001,6
sub_0248,resp_0248,2026-01-01 00:00:00,H-AX-L2-VOL001,4
sub_0260,resp_0260,2026-02-25 00:00:00,H-AX-L2-VOL001,7
sub_0768,resp_0768,2026-01-21 00:00:00,T-MB-L1-VOL001,8
sub_0891,resp_0891,2026-03-24 00:00:00,X-ME-L3-VOL001,4
sub_0798,resp_0798,2026-03-05 00:00:00,T-MB-L2-VOL001,8
sub_0928,resp_0928,2026-01-17 00:00:00,X-MD-L2-VOL001,8
sub_0137,resp_0137,2026-02-04 00:00:00,H-OS-L3-VOL001,9
sub_0293,resp_0293,2026-02-08 00:00:00,H-AX-L3-VOL001,7
sub_0360,resp_0360,2026-02-02 00:00:00,H-CR-L1-VOL001,7
sub_0847,resp_0847,2026-02-15 00:00:00,X-ME-L1-VOL001,7
sub_0412,resp_0412,2026-03-07 00:00:00,H-CR-L3-VOL001,7
sub_0993,resp_0993,2026-03-20 00:00:00,X-MC-L3-VOL001,3
sub_0529,resp_0529,2026-02-16 00:00:00,H-SL-L2-VOL001,8
sub_0056,resp_0056,2026-01-14 00:00:00,H-OS-L1-VOL001,7
sub_0121,resp_0121,2026-02-10 00:00:00,H-OS-L2-VOL001,7
sub_0873,resp_0873,2026-01-23 00:00:00,X-ME-L2-VOL001,6
sub_0026,resp_0026,2026-01-15 00:00:00,H-OS-L1-VOL001,6
sub_0073,resp_0073,2026-02-13 00:00:00,H-OS-L2-VOL001,5
sub_0045,resp_0045,2026-02-13 00:00:00,H-OS-L1-VOL001,4
sub_0946,resp_0946,2026-01-12 00:00:00,X-MD-L3-VOL001,9
sub_0589,resp_0589,2026-01-13 00:00:00,T-FC-L1-VOL001,3
sub_0281,resp_0281,2026-01-24 00:00:00,H-AX-L2-VOL001,6
sub_0295,resp_0295,2026-01-16 00:00:00,H-AX-L3-VOL001,7
sub_0219,resp_0219,2026-02-06 00:00:00,H-AX-L1-VOL001,7
sub_0185,resp_0185,2026-03-06 00:00:00,H-AX-L1-VOL001,9
sub_0818,resp_0818,2026-02-12 00:00:00,T-MB-L3-VOL001,10
sub_0352,resp_0352,2026-03-15 00:00:00,H-CR-L1-VOL001,7
sub_0834,resp_0834,2026-01-14 00:00:00,X-ME-L1-VOL001,5
sub_0299,resp_0299,2026-03-10 00:00:00,H-AX-L3-VOL001,6
sub_0765,resp_0765,2026-01-16 00:00:00,T-MB-L1-VOL001,6
sub_0300,resp_0300,2026-02-24 00:00:00,H-AX-L3-VOL001,4
sub_0939,resp_0939,2026-03-05 00:00:00,X-MD-L3-VOL001,3
sub_0313,resp_0313,2026-02-28 00:00:00,H-AX-L3-VOL001,6
sub_0774,resp_0774,2026-01-12 00:00:00,T-MB-L1-VOL001,8
sub_0297,resp_0297,2026-01-06 00:00:00,H-AX-L3-VOL001,4
sub_0061,resp_0061,2026-03-19 00:00:00,H-OS-L1-VOL001,10
sub_0645,resp_0645,2026-02-09 00:00:00,T-FC-L2-VOL001,10
sub_0595,resp_0595,2026-02-25 00:00:00,T-FC-L1-VOL001,8
sub_0443,resp_0443,2026-03-25 00:00:00,H-SL-L1-VOL001,6
sub_0399,resp_0399,2026-03-05 00:00:00,H-CR-L2-VOL001,7
sub_0837,resp_0837,2026-02-07 00:00:00,X-ME-L1-VOL001,5
sub_0592,resp_0592,2026-03-25 00:00:00,T-FC-L1-VOL001,6
sub_0535,resp_0535,2026-01-16 00:00:00,H-SL-L2-VOL001,8
sub_0696,resp_0696,2026-02-15 00:00:00,T-CF-L1-VOL001,4
sub_0322,resp_0322,2026-03-03 00:00:00,H-AX-L3-VOL001,7
sub_0914,resp_0914,2026-03-24 00:00:00,X-MD-L1-VOL001,8
sub_0594,resp_0594,2026-01-28 00:00:00,T-FC-L1-VOL001,4
sub_0320,resp_0320,2026-03-20 00:00:00,H-AX-L3-VOL001,7
sub_0211,resp_0211,2026-03-01 00:00:00,H-AX-L1-VOL001,6
sub_0111,resp_0111,2026-03-13 00:00:00,H-OS-L2-VOL001,6
sub_0465,resp_0465,2026-02-06 00:00:00,H-SL-L1-VOL001,8
sub_0814,resp_0814,2026-01-31 00:00:00,T-MB-L3-VOL001,10
sub_0679,resp_0679,2026-03-14 00:00:00,T-CF-L1-VOL001,6
sub_0922,resp_0922,2026-03-19 00:00:00,X-MD-L2-VOL001,7
sub_0688,resp_0688,2026-01-09 00:00:00,T-CF-L1-VOL001,5
sub_0786,resp_0786,2026-02-06 00:00:00,T-MB-L2-VOL001,10
sub_0905,resp_0905,2026-01-22 00:00:00,X-MD-L1-VOL001,3
sub_0425,resp_0425,2026-01-07 00:00:00,H-CR-L3-VOL001,10
sub_0821,resp_0821,2026-02-15 00:00:00,T-MB-L3-VOL001,7
sub_0457,resp_0457,2026-03-22 00:00:00,H-SL-L1-VOL001,5
sub_0214,resp_0214,2026-01-28 00:00:00,H-AX-L1-VOL001,6
sub_0138,resp_0138,2026-02-06 00:00:00,H-OS-L3-VOL001,6
sub_0797,resp_0797,2026-01-15 00:00:00,T-MB-L2-VOL001,5
sub_0364,resp_0364,2026-02-21 00:00:00,H-CR-L1-VOL001,6
sub_0216,resp_0216,2026-03-02 00:00:00,H-AX-L1-VOL001,10
sub_0961,resp_0961,2026-03-07 00:00:00,X-MC-L1-VOL001,7
sub_0282,resp_0282,2026-01-07 00:00:00,H-AX-L2-VOL001,7
sub_0555,resp_0555,2026-02-05 00:00:00,H-SL-L3-VOL001,8
sub_0921,resp_0921,2026-03-21 00:00:00,X-MD-L1-VOL001,6
sub_0835,resp_0835,2026-01-11 00:00:00,X-ME-L1-VOL001,8
sub_0771,resp_0771,2026-03-07 00:00:00,T-MB-L1-VOL001,6
sub_0875,resp_0875,2026-01-12 00:00:00,X-ME-L2-VOL001,7
sub_0332,resp_0332,2026-01-13 00:00:00,H-CR-L1-VOL001,5
sub_0238,resp_0238,2026-03-22 00:00:00,H-AX-L1-VOL001,2
sub_0347,resp_0347,2026-01-17 00:00:00,H-CR-L1-VOL001,4
sub_0079,resp_0079,2026-02-27 00:00:00,H-OS-L2-VOL001,7
sub_0030,resp_0030,2026-02-24 00:00:00,H-OS-L1-VOL001,7
sub_0278,resp_0278,2026-02-24 00:00:00,H-AX-L2-VOL001,4
sub_0262,resp_0262,2026-01-04 00:00:00,H-AX-L2-VOL001,9
sub_0424,resp_0424,2026-02-26 00:00:00,H-CR-L3-VOL001,8
sub_0744,resp_0744,2026-01-10 00:00:00,T-CF-L3-VOL001,8
sub_0287,resp_0287,2026-02-28 00:00:00,H-AX-L2-VOL001,4
sub_0166,resp_0166,2026-01-10 00:00:00,H-OS-L3-VOL001,8
sub_0959,resp_0959,2026-01-26 00:00:00,X-MC-L1-VOL001,6
sub_0494,resp_0494,2026-03-21 00:00:00,H-SL-L1-VOL001,5
sub_0984,resp_0984,2026-03-16 00:00:00,X-MC-L2-VOL001,5
sub_0066,resp_0066,2026-03-11 00:00:00,H-OS-L1-VOL001,8
sub_0142,resp_0142,2026-01-27 00:00:00,H-OS-L3-VOL001,7
sub_0245,resp_0245,2026-03-15 00:00:00,H-AX-L2-VOL001,2
sub_0825,resp_0825,2026-01-11 00:00:00,X-ME-L1-VOL001,8
sub_0800,resp_0800,2026-03-10 00:00:00,T-MB-L2-VOL001,2
sub_0311,resp_0311,2026-02-16 00:00:00,H-AX-L3-VOL001,7
sub_0766,resp_0766,2026-02-06 00:00:00,T-MB-L1-VOL001,7
sub_0590,resp_0590,2026-01-15 00:00:00,T-FC-L1-VOL001,8
sub_0451,resp_0451,2026-03-25 00:00:00,H-SL-L1-VOL001,8
sub_0257,resp_0257,2026-03-04 00:00:00,H-AX-L2-VOL001,8
sub_0976,resp_0976,2026-03-18 00:00:00,X-MC-L2-VOL001,4
sub_0382,resp_0382,2026-02-04 00:00:00,H-CR-L2-VOL001,6
sub_0479,resp_0479,2026-02-07 00:00:00,H-SL-L1-VOL001,9
sub_0050,resp_0050,2026-02-28 00:00:00,H-OS-L1-VOL001,6
sub_0890,resp_0890,2026-02-10 00:00:00,X-ME-L3-VOL001,5
sub_0255,resp_0255,2026-03-19 00:00:00,H-AX-L2-VOL001,9
sub_0544,resp_0544,2026-01-30 00:00:00,H-SL-L2-VOL001,7
sub_0750,resp_0750,2026-01-05 00:00:00,T-CF-L3-VOL001,7
sub_0902,resp_0902,2026-03-17 00:00:00,X-MD-L1-VOL001,10
sub_0536,resp_0536,2026-02-28 00:00:00,H-SL-L2-VOL001,7
sub_0870,resp_0870,2026-01-18 00:00:00,X-ME-L2-VOL001,7
sub_0992,resp_0992,2026-03-06 00:00:00,X-MC-L3-VOL001,7
sub_0480,resp_0480,2026-02-15 00:00:00,H-SL-L1-VOL001,10
sub_0820,resp_0820,2026-01-06 00:00:00,T-MB-L3-VOL001,6
sub_0034,resp_0034,2026-02-18 00:00:00,H-OS-L1-VOL001,10
sub_0032,resp_0032,2026-01-09 00:00:00,H-OS-L1-VOL001,8
sub_0232,resp_0232,2026-02-01 00:00:00,H-AX-L1-VOL001,7
sub_0746,resp_0746,2026-01-13 00:00:00,T-CF-L3-VOL001,8
sub_0193,resp_0193,2026-01-25 00:00:00,H-AX-L1-VOL001,9
sub_0333,resp_0333,2026-01-25 00:00:00,H-CR-L1-VOL001,6
sub_0004,resp_0004,2026-03-05 00:00:00,H-OS-L1-VOL001,6
sub_0205,resp_0205,2026-01-27 00:00:00,H-AX-L1-VOL001,9
sub_0324,resp_0324,2026-02-25 00:00:00,H-AX-L3-VOL001,6
sub_0573,resp_0573,2026-01-27 00:00:00,H-SL-L3-VOL001,7
sub_0306,resp_0306,2026-01-02 00:00:00,H-AX-L3-VOL001,7
sub_0110,resp_0110,2026-02-24 00:00:00,H-OS-L2-VOL001,3
sub_0483,resp_0483,2026-01-19 00:00:00,H-SL-L1-VOL001,9
sub_0078,resp_0078,2026-03-10 00:00:00,H-OS-L2-VOL001,6
sub_0085,resp_0085,2026-02-01 00:00:00,H-OS-L2-VOL001,5
sub_0429,resp_0429,2026-01-17 00:00:00,H-CR-L3-VOL001,4
sub_0083,resp_0083,2026-02-05 00:00:00,H-OS-L2-VOL001,10
sub_0528,resp_0528,2026-03-13 00:00:00,H-SL-L2-VOL001,8
sub_0552,resp_0552,2026-02-15 00:00:00,H-SL-L3-VOL001,7
sub_0363,resp_0363,2026-01-09 00:00:00,H-CR-L1-VOL001,8
sub_0421,resp_0421,2026-03-21 00:00:00,H-CR-L3-VOL001,5
sub_0933,resp_0933,2026-02-10 00:00:00,X-MD-L2-VOL001,6
sub_0519,resp_0519,2026-03-03 00:00:00,H-SL-L2-VOL001,6
sub_0463,resp_0463,2026-01-31 00:00:00,H-SL-L1-VOL001,9
sub_0003,resp_0003,2026-03-25 00:00:00,H-OS-L1-VOL001,6
sub_0102,resp_0102,2026-01-08 00:00:00,H-OS-L2-VOL001,4
sub_0478,resp_0478,2026-01-08 00:00:00,H-SL-L1-VOL001,9
sub_0276,resp_0276,2026-01-11 00:00:00,H-AX-L2-VOL001,7
sub_0006,resp_0006,2026-03-24 00:00:00,H-OS-L1-VOL001,8
sub_0909,resp_0909,2026-03-14 00:00:00,X-MD-L1-VOL001,6
sub_0712,resp_0712,2026-02-19 00:00:00,T-CF-L1-VOL001,7
sub_0098,resp_0098,2026-03-04 00:00:00,H-OS-L2-VOL001,6
sub_0266,resp_0266,2026-01-22 00:00:00,H-AX-L2-VOL001,8
sub_0356,resp_0356,2026-02-26 00:00:00,H-CR-L1-VOL001,5
sub_0866,resp_0866,2026-02-06 00:00:00,X-ME-L2-VOL001,8
sub_0466,resp_0466,2026-01-30 00:00:00,H-SL-L1-VOL001,6
sub_0810,resp_0810,2026-01-03 00:00:00,T-MB-L3-VOL001,6
sub_0431,resp_0431,2026-02-26 00:00:00,H-CR-L3-VOL001,6
sub_0498,resp_0498,2026-01-19 00:00:00,H-SL-L1-VOL001,9
sub_0704,resp_0704,2026-02-17 00:00:00,T-CF-L1-VOL001,5
sub_0119,resp_0119,2026-03-11 00:00:00,H-OS-L2-VOL001,6
sub_0868,resp_0868,2026-01-26 00:00:00,X-ME-L2-VOL001,6
sub_0251,resp_0251,2026-02-19 00:00:00,H-AX-L2-VOL001,10
sub_0830,resp_0830,2026-01-24 00:00:00,X-ME-L1-VOL001,4
sub_0010,resp_0010,2026-01-18 00:00:00,H-OS-L1-VOL001,3
sub_0197,resp_0197,2026-03-20 00:00:00,H-AX-L1-VOL001,9
sub_0603,resp_0603,2026-01-13 00:00:00,T-FC-L1-VOL001,9
sub_0082,resp_0082,2026-01-24 00:00:00,H-OS-L2-VOL001,8
sub_0644,resp_0644,2026-02-17 00:00:00,T-FC-L2-VOL001,8
sub_0653,resp_0653,2026-03-21 00:00:00,T-FC-L2-VOL001,5
sub_0619,resp_0619,2026-03-13 00:00:00,T-FC-L1-VOL001,4
sub_0240,resp_0240,2026-01-27 00:00:00,H-AX-L2-VOL001,5
sub_0290,resp_0290,2026-02-18 00:00:00,H-AX-L2-VOL001,7
sub_0212,resp_0212,2026-02-26 00:00:00,H-AX-L1-VOL001,3
sub_0716,resp_0716,2026-03-18 00:00:00,T-CF-L2-VOL001,8
sub_0358,resp_0358,2026-01-24 00:00:00,H-CR-L1-VOL001,6
sub_0448,resp_0448,2026-02-13 00:00:00,H-SL-L1-VOL001,5
sub_0228,resp_0228,2026-01-26 00:00:00,H-AX-L1-VOL001,4
sub_0854,resp_0854,2026-03-23 00:00:00,X-ME-L1-VOL001,6
sub_0362,resp_0362,2026-01-15 00:00:00,H-CR-L1-VOL001,6
sub_0827,resp_0827,2026-01-11 00:00:00,X-ME-L1-VOL001,10
sub_0500,resp_0500,2026-03-01 00:00:00,H-SL-L1-VOL001,9
sub_0389,resp_0389,2026-03-14 00:00:00,H-CR-L2-VOL001,10
sub_0430,resp_0430,2026-02-06 00:00:00,H-CR-L3-VOL001,4
sub_0987,resp_0987,2026-03-09 00:00:00,X-MC-L2-VOL001,7
sub_0315,resp_0315,2026-02-25 00:00:00,H-AX-L3-VOL001,10
sub_0405,resp_0405,2026-02-11 00:00:00,H-CR-L2-VOL001,4
sub_0008,resp_0008,2026-01-19 00:00:00,H-OS-L1-VOL001,4
sub_0156,resp_0156,2026-01-17 00:00:00,H-OS-L3-VOL001,10
sub_0808,resp_0808,2026-02-17 00:00:00,T-MB-L3-VOL001,7
sub_0843,resp_0843,2026-02-26 00:00:00,X-ME-L1-VOL001,7
sub_0631,resp_0631,2026-02-21 00:00:00,T-FC-L2-VOL001,10
sub_0395,resp_0395,2026-02-21 00:00:00,H-CR-L2-VOL001,5
sub_0930,resp_0930,2026-03-07 00:00:00,X-MD-L2-VOL001,5
sub_0599,resp_0599,2026-02-13 00:00:00,T-FC-L1-VOL001,8
sub_0334,resp_0334,2026-02-07 00:00:00,H-CR-L1-VOL001,7
sub_0576,resp_0576,2026-01-30 00:00:00,H-SL-L3-VOL001,8
sub_0932,resp_0932,2026-01-14 00:00:00,X-MD-L2-VOL001,3
sub_0947,resp_0947,2026-02-05 00:00:00,X-MC-L1-VOL001,9
sub_0697,resp_0697,2026-03-06 00:00:00,T-CF-L1-VOL001,7
sub_0530,resp_0530,2026-01-12 00:00:00,H-SL-L2-VOL001,4
sub_0581,resp_0581,2026-02-05 00:00:00,H-SL-L3-VOL001,10
sub_0706,resp_0706,2026-01-10 00:00:00,T-CF-L1-VOL001,6
sub_0539,resp_0539,2026-03-16 00:00:00,H-SL-L2-VOL001,7
sub_0452,resp_0452,2026-01-11 00:00:00,H-SL-L1-VOL001,7
sub_0229,resp_0229,2026-01-19 00:00:00,H-AX-L1-VOL001,7
sub_0351,resp_0351,2026-01-02 00:00:00,H-CR-L1-VOL001,8
sub_0894,resp_0894,2026-03-01 00:00:00,X-ME-L3-VOL001,7
sub_0213,resp_0213,2026-02-26 00:00:00,H-AX-L1-VOL001,5
sub_0080,resp_0080,2026-01-18 00:00:00,H-OS-L2-VOL001,4
sub_0149,resp_0149,2026-01-12 00:00:00,H-OS-L3-VOL001,8
sub_0303,resp_0303,2026-03-06 00:00:00,H-AX-L3-VOL001,3
sub_0335,resp_0335,2026-01-30 00:00:00,H-CR-L1-VOL001,6
sub_0713,resp_0713,2026-03-01 00:00:00,T-CF-L1-VOL001,7
sub_0944,resp_0944,2026-03-05 00:00:00,X-MD-L3-VOL001,9
sub_0920,resp_0920,2026-02-23 00:00:00,X-MD-L1-VOL001,7
sub_0484,resp_0484,2026-02-01 00:00:00,H-SL-L1-VOL001,7
sub_0977,resp_0977,2026-03-02 00:00:00,X-MC-L2-VOL001,10
sub_0134,resp_0134,2026-01-14 00:00:00,H-OS-L3-VOL001,8
sub_0550,resp_0550,2026-03-11 00:00:00,H-SL-L3-VOL001,7
sub_0312,resp_0312,2026-03-23 00:00:00,H-AX-L3-VOL001,6
sub_0606,resp_0606,2026-02-10 00:00:00,T-FC-L1-VOL001,9
sub_0440,resp_0440,2026-03-12 00:00:00,H-CR-L3-VOL001,8
sub_0001,resp_0001,2026-02-10 00:00:00,H-OS-L1-VOL001,7
sub_0317,resp_0317,2026-03-08 00:00:00,H-AX-L3-VOL001,8
sub_0705,resp_0705,2026-02-06 00:00:00,T-CF-L1-VOL001,5
sub_0732,resp_0732,2026-03-16 00:00:00,T-CF-L2-VOL001,7
sub_0343,resp_0343,2026-01-06 00:00:00,H-CR-L1-VOL001,8
sub_0532,resp_0532,2026-01-02 00:00:00,H-SL-L2-VOL001,7
sub_0507,resp_0507,2026-02-11 00:00:00,H-SL-L2-VOL001,8
sub_0371,resp_0371,2026-01-20 00:00:00,H-CR-L1-VOL001,7
sub_0173,resp_0173,2026-01-19 00:00:00,H-OS-L3-VOL001,8
sub_0126,resp_0126,2026-03-06 00:00:00,H-OS-L2-VOL001,9
sub_0548,resp_0548,2026-03-13 00:00:00,H-SL-L2-VOL001,7
sub_0860,resp_0860,2026-01-16 00:00:00,X-ME-L2-VOL001,9
sub_0901,resp_0901,2026-01-22 00:00:00,X-MD-L1-VOL001,5
sub_0091,resp_0091,2026-03-25 00:00:00,H-OS-L2-VOL001,10
